A股代码,B股代码,证券简称,扩位证券简称,公司英文全称,上市日期
688285,-,高铁电气,高铁电气,"CHINA RAILWAY HIGH-SPEED ELECTRIFICATION EQUIPMENT CO.,LTD.",20211020
688286,-,敏芯股份,敏芯股份,"Memsensing Microsystems (Suzhou, China) Co., Ltd.",20200810
688287,-,观典防务,观典防务,"GUANDIAN DEFENSE TECHNOLOGY CO.,LTD.",20220525
688288,-,鸿泉物联,鸿泉物联,"HANGZHOU HOPECHART IOT TECHNOLOGY CO., LTD",20191106
688289,-,圣湘生物,圣湘生物,Sansure Biotech Inc.,20200828
688290,-,景业智能,景业智能,"HANGZHOU BOOMY INTELLIGENT TECHNOLOGY CO., LTD.",20220429
688291,-,金橙子,金橙子科技,"BEIJING JCZ TECHNOLOGY CO.,LTD.",20221026
688292,-,浩瀚深度,浩瀚深度信息技术,"BEIJING HAOHAN DATA TECHNOLOGY CO., LTD.",20220818
688293,-,奥浦迈,奥浦迈生物,"SHANGHAI OPM BIOSCIENCES CO., LTD.",20220902
688295,-,中复神鹰,中复神鹰碳纤维,"ZHONGFU SHENYING CARBON FIBER CO.,LTD.",20220406
688296,-,和达科技,和达科技,"Zhejiang Heda Technology Co.,Ltd",20210727
688297,-,中无人机,中航无人机,"AVIC (CHENGDU) UAS CO., LTD.",20220629
688298,-,东方生物,东方基因生物,"Zhejiang Orient Gene Biotech Co., Ltd",20200205
688299,-,长阳科技,长阳科技,"Ningbo Solartron Technology Co., Ltd.",20191106
688300,-,联瑞新材,联瑞新材,Novoray Corporation,20191115
688301,-,奕瑞科技,奕瑞科技股份,iRay Technology Company Limited,20200918
688302,-,海创药业,海创药业,HINOVA PHARMACEUTICALS INC.,20220412
688303,-,大全能源,大全能源,"Xinjiang Daqo New Energy Co.,Ltd.",20210722
688305,-,科德数控,科德数控,"Kede Numerical Control Co., Ltd.",20210709
688306,-,均普智能,均普智能制造,NINGBO PIA AUTOMATION HOLDING CORP.,20220322
688307,-,中润光学,中润光学,"JIAXING ZMAX OPTECH CO., LTD.",20230216
688308,-,欧科亿,欧科亿数控刀具,"OKE Precision Cutting Tools Co., Ltd.",20201210
688309,-,恒誉环保,恒誉环保,Niutech Environment Technology Corporation,20200714
688310,-,迈得医疗,迈得医疗,"Maider Medical Industry Equipment Co., Ltd.",20191203
688311,-,盟升电子,盟升电子,"Chengdu M&S Electronics Technology Co.,Ltd.",20200731
688312,-,燕麦科技,燕麦科技,Shenzhen Yanmade Technology Inc.,20200608
688313,-,仕佳光子,仕佳光子,"Henan Shijia Photons Technology Co., Ltd.",20200812
688314,-,康拓医疗,康拓医疗,"Kontour(Xi'an) Medical Technology Co., Ltd.",20210518
688315,-,诺禾致源,诺禾致源科技,"NOVOGENE CO., LTD",20210413
688316,-,青云科技,青云科技,Qingcloud Technologies Corp.,20210316
688317,-,之江生物,上海之江生物,"Shanghai ZJ Bio-Tech Co., Ltd",20210118
688318,-,财富趋势,财富趋势,"SHENZHEN FORTUNE TREND TECHNOLOGY CO.,LTD.",20200427
688319,-,欧林生物,欧林生物,Chengdu Olymvax Biopharmaceuticals Inc.,20210608
688320,-,禾川科技,禾川科技,ZHEJIANG HE CHUAN TECHNOLOGY CORPORATION LIMITED,20220428
688321,-,微芯生物,微芯生物,"Shenzhen Chipscreen Biosciences Co., Ltd.",20190812
688322,-,奥比中光,奥比中光,ORBBEC INC.,20220707
688323,-,瑞华泰,瑞华泰薄膜科技,"Rayitek Hi-Tech Film Company Ltd., Shenzhen",20210428
