板块,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,B股代码,B股 简 称,B股上市日期,B股总股本,B股流通股本,地      区,省    份,城     市,所属行业,公司网址,未盈利,具有表决权差异安排,具有协议控制架构
创业板,安徽宏宇五洲医疗器械股份有限公司,"ANHUI HONGYU WUZHOU MEDICAL MANUFACTURER CO.,LTD.",安徽省安庆市太湖县经济开发区观音路2号,301234,五洲医疗,2022-07-05,"68,000,000","18,428,000",,,,0,0,华东,安徽,安庆市,C 制造业,www.hongyu-wuzhou.com,否,否,否
创业板,武汉华康世纪医疗股份有限公司,"Wuhan Huakang Century Medical Co., Ltd",湖北省武汉市武汉东湖新技术开发区光谷大道77号光谷金融港B4栋8-9层1号房,301235,华康医疗,2022-01-28,"105,600,000","50,951,000",,,,0,0,华中,湖北,武汉市,M 科研服务,www.whhksj.com.cn,否,否,否
创业板,软通动力信息技术（集团）股份有限公司,"iSoftStone Information Technology (Group) Co., Ltd.",北京市海淀区西北旺东路10号院东区16号楼5层502,301236,软通动力,2022-03-15,"952,941,177","680,315,389",,,,0,0,华北,北京,北京市,I 信息技术,www.isoftstone.com,否,否,否
创业板,杭州和顺科技股份有限公司,"Hangzhou Heshun Technology Co., Ltd.",浙江省杭州市余杭区仁和街道粮站路11号1幢5楼512室,301237,和顺科技,2022-03-23,"80,000,000","37,644,982",,,,0,0,华东,浙江,杭州市,C 制造业,www.hzhssy.com,否,否,否
创业板,江苏瑞泰新能源材料股份有限公司,"Jiangsu Ruitai New Energy Materials Co.,Ltd.",江苏省张家港保税区纺织原料市场216-2635室,301238,瑞泰新材,2022-06-17,"733,333,300","213,333,300",,,,0,0,华东,江苏,苏州市,C 制造业,www.rtxc.com,否,否,否
创业板,成都普瑞眼科医院股份有限公司,"Chengdu Bright Eye Hospital Co., Ltd.",四川省成都市金牛区一环路北四段215号,301239,普瑞眼科,2022-07-05,"149,619,048","70,789,463",,,,0,0,西南,四川,成都市,Q 卫生,www.purui.cn,否,否,否
创业板,湖北省宏源药业科技股份有限公司,"Hubei Hongyuan Pharmaceutical Technology Co.,Ltd.",湖北省罗田县凤山镇经济开发区宏源路8号,301246,宏源药业,2023-03-20,"400,006,800","44,371,665",,,,0,0,华中,湖北,黄冈市,C 制造业,www.hbhypharm.com,否,否,否
创业板,杰创智能科技股份有限公司,Nexwise Intelligence China Limited,广东省广州市黄埔区瑞祥路88号,301248,杰创智能,2022-04-20,"153,705,000","98,887,500",,,,0,0,华南,广东,广州市,I 信息技术,www.nexwise.com.cn,否,否,否
创业板,浙江同星科技股份有限公司,"Zhejiang Tongxing Technology CO., Ltd.",浙江省新昌县新昌大道东路889号,301252,同星科技,2023-05-25,"80,000,000","20,000,000",,,,0,0,华东,浙江,绍兴市,C 制造业,www.zjtx.cn,否,否,否
创业板,浙江通力传动科技股份有限公司,"Zhejiang TongLi Transmission Technology Co., Ltd.",浙江省瑞安市江南大道3801号,301255,通力科技,2022-12-27,"108,800,000","27,200,000",,,,0,0,华东,浙江,温州市,C 制造业,www.zjtongli.com,否,否,否
创业板,华融化学股份有限公司,"HUARONG CHEMICAL CO., LTD.",四川省成都市彭州市九尺镇林杨路166号,301256,华融化学,2022-03-22,"480,000,000","136,200,000",,,,0,0,西南,四川,成都市,C 制造业,www.cnchccl.com,否,否,否
创业板,普蕊斯（上海）医药科技开发股份有限公司,"SMO ClinPlus CO., LTD.",上海市黄浦区思南路105号1号楼108室,301257,普蕊斯,2022-05-17,"60,975,000","35,798,940",,,,0,0,华东,上海,上海市,M 科研服务,www.smo-clinplus.com,否,否,否
