Date,Stock:Close:00003,Stock:Close:00101,Stock:Close:00338,Stock:Close:01083,Stock:Close:02800,Stock:Divident:00003,Stock:Divident:00101,Stock:Divident:00338,Stock:Divident:01083,Stock:Divident:02800,Stock:pd:00003,Stock:pd:00101,Stock:pd:00338,Stock:pd:01083,Stock:pd:02800
200701,9.2782,16.2355,1.4942,3.3384,25.26,0.35,0.76,0.12,0.15,0.87,3.7723,4.6811,8.0311,4.4932,3.4442
200801,9.514,18.6512,1.3819,3.1505,25.84,0.35,0.76,0.12,0.15,0.87,3.6788,4.0748,8.6837,4.7611,3.3669
200901,9.3621,16.8536,1.2178,2.8551,24.28,0.35,0.76,0.12,0.15,0.87,3.7385,4.5094,9.8538,5.2538,3.5832
201001,9.3959,16.1994,1.2351,3.1415,24.24,0.35,0.76,0.12,0.15,0.75,3.725,4.6915,9.7158,4.7748,3.0941
201101,10.0706,16.5437,1.4856,3.1773,26.56,0.35,0.76,0.12,0.15,0.75,3.4755,4.5939,8.0775,4.721,2.8238
201201,9.767,17.6025,1.4251,3.1326,27.4,0.35,0.76,0.12,0.15,0.75,3.5835,4.3176,8.4205,4.7884,2.7372
210101,9.3959,17.8177,1.4856,2.9715,28.46,0.35,0.76,0.12,0.15,0.75,3.725,4.2654,8.0775,5.048,2.6353
210201,9.8682,17.3012,1.641,3.0878,29.22,0.35,0.76,0.12,0.15,0.75,3.5467,4.3928,7.3126,4.8578,2.5667
210301,10.3743,17.3873,1.5892,3.4727,28.66,0.35,0.76,0.12,0.15,0.75,3.3737,4.371,7.551,4.3194,2.6169
210401,10.5092,18.248,1.667,3.4279,28.8,0.35,0.76,0.12,0.15,0.79,3.3304,4.1648,7.1986,4.3759,2.7431
210501,11.3864,17.3361,1.667,4.6999,29.4,0.35,0.76,0.12,0.15,0.79,3.0738,4.3839,7.1986,3.1916,2.6871
210601,10.8672,16.6986,1.6664,5.2897,29.24,0.35,0.76,0.1,0.15,0.79,3.2207,4.5513,6.001,2.8357,2.7018
210701,11.4079,17.7965,1.4915,4.7091,26.52,0.35,0.76,0.1,0.15,0.79,3.068,4.2705,6.7047,3.1853,2.9789
210801,11.2817,16.5392,1.5467,5.2252,26.42,0.35,0.76,0.1,0.15,0.79,3.1024,4.5951,6.4654,2.8707,2.9902
210901,10.7357,15.8826,1.7493,4.4787,25.22,0.35,0.77,0.1,0.15,0.79,3.2602,4.8481,5.7166,3.3492,3.1324
211001,11.0086,16.1509,1.6664,4.9303,25.52,0.35,0.77,0.1,0.15,0.67,3.1793,4.7675,6.001,3.0424,2.6254
211101,10.5901,13.8257,1.6848,4.875,23.62,0.35,0.77,0.1,0.15,0.67,3.305,5.5693,5.9354,3.0769,2.8366
211201,11.045,14.3444,1.648,6.2481,23.52,0.35,0.77,0.1,0.15,0.67,3.1689,5.3679,6.068,2.4007,2.8486
220101,10.9176,14.8989,1.5743,5.2805,23.98,0.35,0.77,0.1,0.15,0.67,3.2058,5.1682,6.352,2.8406,2.794
220201,10.7539,14.6485,1.6204,5.1054,22.88,0.35,0.77,0.1,0.15,0.67,3.2546,5.2565,6.1713,2.9381,2.9283
220301,8.634,14.1298,1.5007,3.7968,22.28,0.35,0.77,0.1,0.15,0.67,4.0537,5.4495,6.6636,3.9507,3.0072
220401,7.9062,13.9417,1.3626,3.6033,21.22,0.35,0.78,0.1,0.15,0.62,4.4269,5.5947,7.3389,4.1629,2.9218
220501,8.0791,13.6075,1.4178,3.7562,21.62,0.35,0.78,0.1,0.15,0.62,4.3322,5.7321,7.0532,3.9934,2.8677
220601,7.8902,13.8117,1.34,4.0053,22.28,0.35,0.78,0.1,0.15,0.62,4.4359,5.6474,7.4627,3.745,2.7828
220701,7.7314,13.2548,1.29,3.5837,20.68,0.35,0.78,0.1,0.15,0.62,4.527,5.8847,7.7519,4.1856,2.9981
220801,7.2365,12.141,1.23,3.3058,20.5,0.35,0.78,0.1,0.15,0.62,4.8366,6.4245,8.1301,4.5375,3.0244
220901,6.5631,12.1196,1.03,2.8842,17.89,0.35,0.78,0.1,0.15,0.62,5.3328,6.4359,9.7087,5.2007,3.4656
221001,5.7475,9.2873,1.03,2.6351,14.82,0.35,0.78,0.1,0.15,0.64,6.0896,8.3986,9.7087,5.6924,4.3185
221101,6.2976,13.531,1.28,3.3921,18.7,0.35,0.78,0.1,0.15,0.64,5.5577,5.7645,7.8125,4.422,3.4225
221201,7.0374,14.3591,1.32,3.7562,19.92,0.35,0.78,0.1,0.15,0.64,4.9734,5.4321,7.5758,3.9934,3.2129
230101,7.4547,13.8886,1.4,3.8999,22,0.35,0.78,0.1,0.15,0.64,4.695,5.6161,7.1429,3.8463,2.9091
230201,6.9994,14.2462,1.35,3.8041,19.99,0.35,0.78,0.1,0.15,0.64,5.0004,5.4751,7.4074,3.9431,3.2016
230301,6.5537,13.8133,1.37,3.2579,20.58,0.35,0.78,0.1,0.15,0.64,5.3405,5.6467,7.2993,4.6042,3.1098
230401,6.6011,13.4746,1.37,3.4687,20,0.35,0.78,0.1,0.15,0.66,5.3021,5.7887,7.2993,4.3244,3.3
230501,6.6959,12.185,1.21,3.48,18.48,0.35,0.78,0.1,0.15,0.66,5.2271,6.4013,8.2645,4.3103,3.5714
230601,6.6307,11.8902,1.23,3.48,19.25,0.35,0.78,0.1,0.15,0.66,5.2785,6.56,8.1301,4.3103,3.4286
230701,6.5327,11.8902,1.19,3.78,20.54,0.35,0.78,0,0.15,0.66,5.3577,6.56,0,3.9683,3.2132
230801,5.77,10.2983,1.1,3.31,18.93,0.35,0.78,0,0.15,0.66,6.0659,7.5741,0,4.5317,3.4865
230901,5.46,10.72,1.11,3.45,18.44,0.35,0.78,0,0.15,0.66,6.4103,7.2761,0,4.3478,3.5792
231001,5.43,10.16,1.02,3.25,17.6,0.35,0.78,0,0.15,0.66,6.4457,7.6772,0,4.6154,3.75
